"","actor","text","season","episode","title"
"1","Narrator","Kids, I'm going to tell you an incredible story. The story of how I met your mother","01","01","Pilot"
"2","Son","Are we being punished for something?","01","01","Pilot"
"3","Narrator","No","01","01","Pilot"
"4","Daughter","Yeah, is this going to take a while?","01","01","Pilot"
"5","Narrator","Yes. (Kids are annoyed) Twenty-five years ago, before I was dad, I had this whole other life.","01","01","Pilot"
"6","Narrator","It was way back in 2005. I was twenty-seven just starting to make it as an architect and living in New York with my friend Marshall, my best friend from college. My life was good and then Uncle Marshall went and screwed the whole thing up.","01","01","Pilot"
"7","Marshall","(Opens ring) Will you marry me.","01","01","Pilot"
"8","Ted","Yes, perfect! And then you're engaged, you pop the champagne! You drink a toast! You have s*x on the kitchen floor... Don't have s*x on our kitchen floor.","01","01","Pilot"
"9","Marshall","Got it. Thanks for helping me plan this out, Ted.","01","01","Pilot"
"10","Ted","Dude, are you kidding? It's you and Lily! I've been there for all the big moments of you and Lily. The night you met. Your first date... other first things.","01","01","Pilot"
"11","Marshall","(laughs) yeah, sorry. We thought you were asleep.","01","01","Pilot"
"12","Ted","It's physics Marshall, if the bottom bunk moves, the top bunk moves too. My god, you're getting engaged tonight.","01","01","Pilot"
"13","Marshall","Yeah, what are you doing tonight?","01","01","Pilot"
"14","Narrator","What was I doing? Your Uncle Marshall was taking the biggest step of his life, and me-I'm calling your Uncle, Barney.","01","01","Pilot"
"15","Barney","(on the phone) hey, so you know how I've always had a thing for half-Asian girls? Well, now I've got a new favorite  Lebanese girls! Lebanese girls are the new half-Asians.","01","01","Pilot"
"16","Ted","Hey, you wanna do something tonight?","01","01","Pilot"
"17","Barney","Okay, meet me at the bar in fifteen minutes, and Suit up!","01","01","Pilot"
"18","Ted","Hey.","01","01","Pilot"
"19","Barney","Where's your suit!? Just once when I say suit up, I wish you'd put on a suit.","01","01","Pilot"
"20","Ted","I did that one time.","01","01","Pilot"
"21","Barney","It was a blazer!","01","01","Pilot"
"22","Ted","You know, ever since college it's been Marshall and Lily and me. Now it's going to be Marshall and Lily... and me. They'll get married, start a family-before long I'm the weird, middle-aged bachelor their kids call ""Uncle Ted"".","01","01","Pilot"
"23","Barney","I see what this is about. Have you forgotten what I said to you the night we met?","01","01","Pilot"
"24","Barney","Ted, I'm going to teach you how to live. (Ted's shocked) Barney, we met at the urinal.","01","01","Pilot"
"25","Ted","Oh, right. Hi.","01","01","Pilot"
"26","Barney","Lesson one, lose the goatee. It doesn't look good with your suit.","01","01","Pilot"
"27","Ted","I'm not wearing a suit.","01","01","Pilot"
